Sub_District_PK,SubDistrict,District,State
Mayiladuthurai|Mayiladuthurai|Tamil Nadu,Mayiladuthurai,Mayiladuthurai,Tamil Nadu
Sirkali|Mayiladuthurai|Tamil Nadu,Sirkali,Mayiladuthurai,Tamil Nadu
Tharangambadi|Mayiladuthurai|Tamil Nadu,Tharangambadi,Mayiladuthurai,Tamil Nadu
Kilvelur|Nagapattinam|Tamil Nadu,Kilvelur,Nagapattinam,Tamil Nadu
Nagapattinam|Nagapattinam|Tamil Nadu,Nagapattinam,Nagapattinam,Tamil Nadu
Thirukkuvalai|Nagapattinam|Tamil Nadu,Thirukkuvalai,Nagapattinam,Tamil Nadu
Vedaranyam|Nagapattinam|Tamil Nadu,Vedaranyam,Nagapattinam,Tamil Nadu
Kolli Hills|Namakkal|Tamil Nadu,Kolli Hills,Namakkal,Tamil Nadu
Kumarapalayam|Namakkal|Tamil Nadu,Kumarapalayam,Namakkal,Tamil Nadu
Mohanur|Namakkal|Tamil Nadu,Mohanur,Namakkal,Tamil Nadu
Namakkal|Namakkal|Tamil Nadu,Namakkal,Namakkal,Tamil Nadu
Paramathi Velur|Namakkal|Tamil Nadu,Paramathi Velur,Namakkal,Tamil Nadu
Rasipuram|Namakkal|Tamil Nadu,Rasipuram,Namakkal,Tamil Nadu
Sendamangalam|Namakkal|Tamil Nadu,Sendamangalam,Namakkal,Tamil Nadu
Tiruchengode|Namakkal|Tamil Nadu,Tiruchengode,Namakkal,Tamil Nadu
Alathur|Perambalur|Tamil Nadu,Alathur,Perambalur,Tamil Nadu
Kunnam|Perambalur|Tamil Nadu,Kunnam,Perambalur,Tamil Nadu
Perambalur|Perambalur|Tamil Nadu,Perambalur,Perambalur,Tamil Nadu
Veppanthattai|Perambalur|Tamil Nadu,Veppanthattai,Perambalur,Tamil Nadu
